"Description","Results"
"MAIN INFORMATION ABOUT DATA",""
"Timespan","2009:2022"
"Sources (Journals, Books, etc)","113"
"Documents","130"
"Annual Growth Rate %","16.15"
"Document Average Age","3.22"
"Average citations per doc","4.523"
"References","6786"
"DOCUMENT CONTENTS",""
"Keywords Plus (ID)","393"
"Author's Keywords (DE)","338"
"AUTHORS",""
"Authors","298"
"Authors of single-authored docs","50"
"AUTHORS COLLABORATION",""
"Single-authored docs","52"
"Co-Authors per Doc","2.62"
"International co-authorships %","13.08"
"DOCUMENT TYPES",""
"article","62"
"book","5"
"book chapter","8"
"conference paper","30"
"editorial","3"
"note","2"
"review","20"